0		3.98958	49	29	0	
0		0.333333	56	46	0	
0		3.98958	37	37	0	
0.333333		0.333333	61	30	0	
0.666667		0.333333	64	43	0	
1		0.333333	56	38	0	
1.33333		0.333333	61	29	0	
1.66667		0.333333	64	32	0	
2		0.333333	56	32	0	
2.33333		0.333333	61	25	0	
2.66667		0.333333	64	25	0	
3		0.333333	56	33	0	
3.33333		0.333333	61	29	0	
3.66667		0.333333	64	29	0	
4		3.98958	47	38	0	
4		0.333333	56	25	0	
4		3.98958	35	42	0	
4.33333		0.34375	61	27	0	
4.65625		0.333333	64	27	0	
5		0.333333	56	30	0	
5.33333		0.333333	61	29	0	
5.66667		0.333333	64	27	0	
6		0.333333	56	27	0	
6.33333		0.333333	61	25	0	
6.66667		0.333333	64	34	0	
7		0.333333	56	37	0	
7.33333		0.333333	61	31	0	
7.66667		0.333333	64	37	0	
8		1.98958	33	37	0	
8		0.333333	57	41	0	
8		1.98958	45	39	0	
8.33333		0.333333	61	25	0	
8.66667		0.333333	64	33	0	
9		0.333333	57	28	0	
9.33333		0.333333	61	33	0	
9.66667		0.333333	64	32	0	
10		0.645833	57	36	0	
10		1.98958	30	27	0	
10		1.98958	42	29	0	
10.3333		0.333333	62	37	0	
10.6667		0.333333	66	42	0	
11		0.333333	57	33	0	
11.3333		0.333333	62	31	0	
11.6667		0.333333	66	34	0	
12		1.98958	32	37	0	
12		1.98958	44	31	0	
12		0.333333	56	44	0	
12.3333		0.333333	60	26	0	
12.6667		0.333333	66	36	0	
13		0.333333	56	44	0	
13.3333		0.333333	61	28	0	
13.6667		0.333333	64	33	0	
14		0.333333	56	37	0	
14		0.989583	44	32	0	
14		0.989583	32	39	0	
14.3333		0.333333	61	26	0	
14.6667		0.333333	63	46	0	
15		0.333333	54	39	0	
15.3333		0.333333	60	38	0	
15.6667		0.333333	63	25	0	
16		0.333333	52	36	0	
16		3.98958	49	23	0	
16		3.98958	44	33	0	
16		3.98958	37	25	0	
16.3333		0.333333	56	27	0	
16.6667		0.333333	61	35	0	
17		0.333333	56	36	0	
17.3333		0.333333	61	22	0	
17.6667		0.333333	64	21	0	
18		0.333333	56	42	0	
